company_name,date_certified,industry,industry_category,country,state,city,sector,size,website
Biopackaging,2022-11-01,Other/general wholesale trade,Wholesale,Argentina,Autonomous City Of Buenos Aires,ciudad de buenos aires,Wholesale/Retail,1-9,www.biopackaging.com.ar
Minster FB,2023-07-31,Advertising & market research,Professional & technical services,United Kingdom,Nottinghamshire,Nottingham,Service,10-49,http://www.minsterfb.com/
Bandstand UK Ltd,2024-12-04,Advertising & market research,Professional & technical services,United Kingdom,England,London,Service,10-49,https://bandstand.co.uk/
VitaFoods,2024-02-27,Agricultural Processing,"Agriculture, forestry & fishing",Chile,Santiago Metropolitan Region,Santiago,Agriculture/Growers,250-999,https://vitafoods.com/
Pisos Mamut,2023-07-31,Construction,Construction,Bolivia,Cochabamba Department,Cochabamba,Manufacturing,10-49,https://grupo-mamut.com/
"Emerald Built Environments, LLC",2022-03-22,Environmental consulting,Professional & technical services,United States,Ohio,Cleveland,Service,1-9,www.emeraldbe.com
Fair Capital Partners,2022-12-16,Investment advising,Financial & insurance activities,Netherlands The,North Holland,Muiden,Service,10-49,www.faircapitalpartners.nl
De Groene Afslag Holding B.V.,2024-09-04,Event catering & related,Accommodation & food service,Netherlands The,North Holland,Laren,Service with Significant Environmental Footprint,10-49,www.degroeneafslag.nl
Psychopomp Limited,2022-10-25,Beverages,Manufactured Goods,United Kingdom,United Kingdom,Bristol,Manufacturing,1-9,microdistillery.co.uk
Hop Studios,2023-04-27,Computer programming services,"Information, communication & technology",Canada,British Columbia,Vancouver,Service,10-49,hopstudios.com
High Park Brewery,2022-12-14,Beverages,Manufactured Goods,Canada,Ontario,Toronto,Manufacturing,10-49,highparkbrewery.com
Solmate Socks,2023-07-31,Apparel,Wholesale,United States,Oregon,Portland,Wholesale/Retail,1-9,www.solmatesocks.com
Tribe Studio,2022-07-17,"Other professional, scientific & tech",Professional & technical services,United Kingdom,Devon,Exeter,Service,10-49,www.tribe.studio
Sentido Verde,2022-03-22,Environmental consulting,Professional & technical services,Colombia,Caldas Department,Manizales,Service,0,www.sentidoverde.com
Planning Partners,2022-07-14,Investment advising,Financial & insurance activities,Australia,Victoria,Camberwell,Service,10-49,planningpartners.com.au
Impact Square,2023-06-26,Other info service activities,"Information, communication & technology",South Korea,Seoul,Seoul,Service,10-49,www.impactsquare.com
The Tea Spot PBC,2022-09-01,Beverages,Retail,United States,Colorado,Louisville,Wholesale/Retail,10-49,theteaspot.com/
Chiesi Group,2022-06-28,Pharmaceutical products,Manufactured Goods,Italy,Emilia-Romagna,Parma,Manufacturing,1000+,www.chiesi.com/en/
"Dolphin Blue, Inc.",2022-06-02,General retail via Internet,Retail,United States,Texas,Richardson,Wholesale/Retail,1-9,dolphinblue.com
Planning Communities,2021-11-09,Environmental consulting,Professional & technical services,United States,North Carolina,Raleigh,Service,1-9,planningcommunities.com
UpHouse,2022-11-28,Advertising & market research,Professional & technical services,Canada,Manitoba,Winnipeg,Service,10-49,www.uphouseinc.com
Biosfera Austral,2023-07-28,Real estate development,"Real estate, design & building",Chile,Santiago Metropolitan Region,Santiago,Service,10-49,www.biosfera-austral.cl
Gather Brands,2022-08-25,Other business support,Administrative & support services,United States,California,San Marcos,Service,1-9,www.gatherbrands.com
Finli Inc,2023-07-28,Financial transaction processing,Financial & insurance activities,United States,California,San Marino,Service,10-49,https://finli.com/
Turim,2023-10-27,Investment advising,Financial & insurance activities,Brazil,Rio de Janeiro,Rio de Janeiro,Service,50-249,www.turimbr.com
Animal Experience International,2023-09-28,Travel agency & related,Administrative & support services,Canada,Ontario,Barrie,Service,0,www.animalexperienceinternational.com
Biobrush,2023-10-10,Medical & dental supplies,Retail,Chile,Santiago Metropolitan Region,Santiago,Wholesale/Retail,1-9,www.biobrush.cl
boxgreen,2022-08-19,Food products,Retail,Singapore,Central Singapore Community Development Council,Singapore,Wholesale/Retail,10-49,www.boxgreen.co
G&A Strategy and Design LLC,2024-11-27,"Other professional, scientific & tech",Professional & technical services,United States,District of Columbia,Washington,Service,50-249,https://gallagherdesign.com/
Muckle media,2022-01-03,Other business support,Administrative & support services,United Kingdom,Lothian,Edinburgh,Service,1-9,www.mucklemedia.co.uk
TUX Creative Co.,2023-04-19,Advertising & market research,Professional & technical services,Canada,Quebec,Montreal,Service,50-249,www.tux.co
MiHaven,2022-09-30,Contracting & building,"Real estate, design & building",Australia,Queensland,Parramatta Park,Wholesale/Retail,10-49,www.mihaven.com.au
Cleany,2024-12-24,Facilities & cleaning services,Administrative & support services,France,Île-de-France,Saint Ouen,Service with Significant Environmental Footprint,250-999,cleany.fr
The Green Cities Company,2022-12-19,Real estate development,"Real estate, design & building",United States,Oregon,Portland,Service with Significant Environmental Footprint,50-249,www.greencities.com
Riô SkinLab,2022-09-12,Personal care products,Retail,Brazil,Rio de Janeiro,Rio de Janeiro,Wholesale/Retail,10-49,www.rioskinlab.com
HOPE Hydration,2022-06-29,Beverages,Wholesale,United States,Florida,Miami,Wholesale/Retail,1-9,www.hopehydrate.com
Startnext GmbH,2025-03-27,Social networks & info sharing,"Information, communication & technology",Germany,Saxonia,Dresden,Service,10-49,www.startnext.com
Firetail,2023-02-16,Management consultant - nonprofits,Professional & technical services,United Kingdom,London Borough of Tower Hamlets,London,Service,1-9,www.firetail.co.uk
Simply Protein,2023-11-01,Food products,Manufactured Goods,Canada,Ontario,Toronto,Manufacturing,10-49,https://simplyprotein.ca/
Seenons,2025-02-26,Software publishing and SaaS platforms,"Information, communication & technology",Netherlands The,North Holland,Amsterdam,Service,50-249,seenons.com
Beam Up Ltd,2022-12-09,Technology-based support services,Human health & social work,United Kingdom,City of London,London,Service,50-249,www.beam.org
IKIGAI Laboratorio Social,2023-08-14,Other personal services,Other services,Peru,Lima,Lima,Service,1-9,www.ikigai.pe
Comecs,2024-12-05,Other retail sale,Retail,Argentina,Buenos Aires Province,Don Torcuato,Wholesale/Retail,1-9,https://www.instagram.com/comecs_pop/
The Positive Birth Company Ltd,2022-08-01,Other personal services,Other services,United Kingdom,Devon,Totnes,Service,1-9,thepositivebirthcompany.co.uk
Mikado Consulting,2022-07-28,Management consultant - nonprofits,Professional & technical services,Turkey,Istanbul Province,Istanbul,Service,1-9,www.mikadoconsulting.com
"Parkera, LLC.",2024-03-19,Real estate development,"Real estate, design & building",United States,Minnesota,Minneapolis,Service with Significant Environmental Footprint,1-9,https://goparkera.com/
Rice & Company LLP,2022-07-29,Accounting & auditing,Professional & technical services,Canada,Alberta,Calgary,Service,10-49,ricellp.com
Core Capital Management,2022-06-02,Investment advising,Financial & insurance activities,United States,California,Huntington Beach,Service,0,core-capital.net
LloydsDirect,2022-09-13,Pharmaceutical products,Retail,United Kingdom,Coventry,Coventry,Wholesale/Retail,50-249,lloydsdirect.co.uk
JD Staron LLC,2025-01-07,Textiles,Wholesale,United States,Connecticut,Stamford,Wholesale/Retail,10-49,https://www.jdstaron.com/
University of St. Augustine for Health Sciences,2020-09-02,Higher education,Education,United States,California,San Marcos,Service with Significant Environmental Footprint,250-999,www.usa.edu
SYS-TEK Società Benefit s.r.l.,2022-08-05,Other info service activities,"Information, communication & technology",Italy,Piedmont,Torino,Service,10-49,www.sys-tek.it
Taylor & Grace,2023-08-02,Advertising & market research,Professional & technical services,Australia,Victoria,Melbourne,Service,10-49,taylorandgrace.com.au
Payactiv,2020-02-17,Software publishing and SaaS platforms,"Information, communication & technology",United States,California,San Jose,Service,10-49,www.payactiv.com
Wild Dog Design,2022-08-01,Computer programming services,"Information, communication & technology",United Kingdom,East Sussex,Brighton,Service,1-9,wilddogdesign.co.uk
Plan B,2023-05-18,Advertising & market research,Professional & technical services,United States,Illinois,Chicago,Service,10-49,www.thisisplanb.com
Sprout Coffee,2022-06-02,Beverages,Retail,Australia,Victoria,Melbourne,Wholesale/Retail,1-9,www.sproutcoffee.com.au
Spark & Bell Ltd,2024-04-17,Electrical equipment,Manufactured Goods,United Kingdom,East Sussex,www.sparkandbell.com,Manufacturing,1-9,www.sparkandbell.com
Threadline,2023-03-08,Advertising & market research,Professional & technical services,United States,Illinois,Highland Park,Service,1-9,www.threadline.co
Ecoliv Buildings Pty Ltd,2022-10-27,Design & building,"Real estate, design & building",Australia,Victoria,The Gurdies,Service with Significant Environmental Footprint,10-49,www.ecoliv.com.au
Twist Health Ltd,2023-04-24,Technology-based support services,Human health & social work,United Kingdom,Hampshire,Winchester,Service,1-9,https://www.twisthealth.tech/
"IND HEMP, LLC",2024-03-17,Food products,Manufactured Goods,United States,Montana,Fort Benton,Manufacturing,10-49,www.indhemp.com
Cotopaxi,2023-03-01,Apparel,Retail,United States,Utah,Salt Lake City,Wholesale/Retail,50-249,www.cotopaxi.com
Purple Playground,2023-06-02,Management consultant - for-profits,Professional & technical services,Australia,Queensland,Broadbeach Waters,Service,1-9,purpleplayground.com.au
PROVOC,2023-02-13,Advertising & market research,Professional & technical services,United States,District of Columbia,Washington,Service,1-9,www.provoc.me/
360tuned (trading as LACIX and Smart River Consulting),2023-09-22,Web portals,"Information, communication & technology",New Zealand,Auckland Region,Auckland,Service,1-9,https://360tuned.com
Puressentiel,2023-09-29,Pharmaceutical products,Wholesale,Belgium,Brussels-Capital Region,Bruxelles,Wholesale/Retail,250-999,https://be.puressentiel.com/pages/notre-histoire
Q-IMPACT Investment Management SGEIC SA,2022-08-25,Equity investing - Developed Markets,Financial & insurance activities,Spain,Madrid,Madrid,Service,1-9,https://qimpact.com/
Tembici,2022-09-21,Rent/lease: other goods,Rental & Repair,Brazil,São Paulo,São Paulo,Service with Significant Environmental Footprint,250-999,tembici.com.br
Fenton,2024-11-08,Jewelry & related articles,Retail,United Kingdom,City of Westminster,London,Wholesale/Retail,10-49,www.fentonand.co
UMITO Partners Inc.,2023-04-18,Environmental consulting,Professional & technical services,Japan,Tokyo,Chiyoda,Service,1-9,https://umitopartners.com/
Win & Winnow Language Services,2023-05-02,"Other professional, scientific & tech",Professional & technical services,Argentina,Autonomous City Of Buenos Aires,Ciudad Autónoma de Buenos Aires,Service,10-49,www.winandwinnow.com
done!,2022-07-30,Advertising & market research,Professional & technical services,Argentina,Autonomous City Of Buenos Aires,Ciudad Autónoma de Buenos Aires,Service,1-9,www.donecomunicacion.com.ar
Dynamo,2023-07-27,Other install & construction,"Real estate, design & building",France,Île-de-France,Paris,Service,10-49,www.dynamoparis.com
GROSCHE International Inc.,2022-11-19,Fabricated metal products,Wholesale,Canada,Ontario,Cambridge,Wholesale/Retail,10-49,www.grosche.ca
M Creative,2025-04-09,Advertising & market research,Professional & technical services,United States,North Carolina,Winston-Salem,Service,1-9,mcreative.net
Koskela,2021-12-09,Furniture,Retail,Australia,New South Wales,North Sydney,Wholesale/Retail,10-49,www.koskela.com.au
Hambleton Bakery,2024-11-06,Food products,Manufactured Goods,United Kingdom,Rutland,"Stretton, Oakham",Manufacturing,50-249,www.hambletonbakery.co.uk
Enharmonic Encounters LLC,2023-05-15,"Other professional, scientific & tech",Professional & technical services,United States,Texas,Austin,Service,0,www.enharmonicenc.com
Stupid Studio,2023-04-14,Other info service activities,"Information, communication & technology",Denmark,Capital Region of Denmark,Valby,Service,10-49,stupid-studio.com
NUQO Modular Inc.,2023-06-21,Architecture design & planning,"Real estate, design & building",Canada,British Columbia,"West Vancouver, BC",Service,1-9,www.nuqo.ca
Social Impact Hub,2022-09-28,Management consultant - nonprofits,Professional & technical services,Australia,New South Wales,Sydney,Service,1-9,www.socialimpacthub.org
DIALOG,2023-04-13,Architecture design & planning,"Real estate, design & building",Canada,Alberta,Calgary,Service,250-999,www.dialogdesign.ca
Votary Limited,2022-12-08,Personal care products,Retail,United Kingdom,Oxfordshire,Oxford,Wholesale/Retail,1-9,www.votary.co.uk
All Purpose,2023-09-29,Other info service activities,"Information, communication & technology",Canada,British Columbia,Vancouver,Service,10-49,allpurpose.io
Busch Systems,2023-05-22,Rubber & plastics products,Wholesale,Canada,Ontario,Barrie,Wholesale/Retail,50-249,www.buschsystems.com
Honeywrap,2022-07-30,Other/general wholesale trade,Wholesale,New Zealand,Waikato Region,Hamiton,Wholesale/Retail,10-49,www.honeywrap.co.nz
"DemandQ, Inc.",2023-04-17,Software publishing and SaaS platforms,"Information, communication & technology",United States,Massachusetts,Waltham,Service,1-9,www.demandq.com
Trufflepig Travel Inc.,2022-08-17,Travel agency & related,Administrative & support services,Canada,Ontario,Toronto,Service,10-49,www.trufflepig.com
Help Scout PBC,2022-08-30,Software publishing and SaaS platforms,"Information, communication & technology",United States,Massachusetts,Boston,Service,50-249,www.helpscout.com
impact advocaten,2022-10-12,Legal activities,Professional & technical services,Belgium,Flemish Brabant,Leuven,Service,1-9,impactadvocaten.be
Fabienne Chapot,2024-03-28,Apparel,Wholesale,Netherlands The,North Holland,Amsterdam,Wholesale/Retail,50-249,www.fabiennechapot.com
People & Partners S.A.,2023-03-22,Management consultant - for-profits,Professional & technical services,Chile,Santiago Metropolitan Region,"Santiago, Las Condes",Service,10-49,www.partners.cl
Metis Consulting Group,2023-08-14,"Other professional, scientific & tech",Professional & technical services,United States,New York,Manlius,Service,10-49,www.metisconsultinggroup.com
Stuff Limited,2022-04-27,Publishing - newspapers & magazines,Publishing - Print,New Zealand,Wellington,Wellington NZ,Service,250-999,www.stuff.co.nz
Revolution Foods,2023-10-09,Food products,Manufactured Goods,United States,California,Commerce,Manufacturing,250-999,revolutionfoods.com
pP Inc.,2023-06-20,Personal care products,Retail,Japan,Tokyo,Shibuya City,Wholesale/Retail,1-9,mammababy.jp
Comerso,2021-02-18,Software publishing and SaaS platforms,"Information, communication & technology",France,Nouvelle-Aquitaine,BORDEAUX,Service with Significant Environmental Footprint,10-49,www.comerso.fr
Right Thing Media Limited,2022-05-16,Other info service activities,"Information, communication & technology",United Kingdom,City of Westminster,London,Service,1-9,www.rightthing.media
Brewgooder,2022-05-16,Food products,Wholesale,United Kingdom,Scotland,Glasgow,Wholesale/Retail,1-9,www.brewgooder.com
Bio-Synergy,2025-02-12,Food products,Wholesale,United Kingdom,London Borough of Camden,London,Wholesale/Retail,1-9,www.bio-synergy.uk
Rheal Superfoods,2023-02-15,Food products,Manufactured Goods,United Kingdom,Newcastle upon Tyne,Newcastle upon Tyne,Manufacturing,10-49,https://rhealsuperfoods.com/
Sonen Capital LLC,2022-05-20,Investment advising,Financial & insurance activities,United States,California,San Francisco,Service,10-49,sonencapital.com
Arva Flour Mills,2022-06-09,Agricultural Processing,"Agriculture, forestry & fishing",Canada,Ontario,Arva,Agriculture/Growers,1-9,www.arvaflourmills.com
GreenSavers,2022-08-15,"Other professional, scientific & tech",Professional & technical services,United States,Oregon,Bend,Service,10-49,greensavers.com
"Noodle Partners, PBC",2024-09-25,Educational support,Education,United States,New York,New York,Service,250-999,https://www.noodle.com/
IN GOOD CO,2023-09-07,Advertising & market research,Professional & technical services,United States,California,Venice,Service,1-9,weareingoodco.com
ClearRisk Inc.,2023-03-14,Software publishing and SaaS platforms,"Information, communication & technology",Canada,Newfoundland and Labrador,St. John's,Service,10-49,www.clearrisk.com
RBW,2023-04-18,Electrical equipment,Manufactured Goods,United States,New York,Kingston,Manufacturing,50-249,www.rbw.com
Kid-A,2024-10-22,Telecommunications,"Information, communication & technology",United Kingdom,Hampshire,Winchester,Service,10-49,www.kid-a.co.uk
Cole Valley Partners,2022-05-23,Real estate development,"Real estate, design & building",United States,Oregon,Portland,Service,1-9,cvpre.com
B.P. de Silva Jewellers,2022-05-23,Jewelry & related articles,Retail,Singapore,South West Community Development Council,SINGAPORE,Wholesale/Retail,1-9,WWW.BPDESILVAJEWELLERS.COM
LG2,2024-10-11,Advertising & market research,Professional & technical services,Canada,Quebec,Montréal,Service,250-999,www.lg2.com
Canopy Space Inc,2023-08-25,Real estate development,"Real estate, design & building",United States,California,San Francisco,Service with Significant Environmental Footprint,10-49,canopy.space
Pampa Co PTY Ltd,2023-07-27,Textiles,Retail,Australia,New South Wales,Byron Bay,Wholesale/Retail,1-9,www.pampa.com.au
Passion in Events Ltd,2022-06-28,Other sports,"Arts, entertainment & recreation",United Kingdom,Surrey,23 Oatlands Drive,Service,1-9,www.pieevents.co.uk
FELICE,2025-03-20,Other personal services,Other services,France,Île-de-France,Montreuil,Service,10-49,www.feliceconciergerie.com
Sunhouse Creative,2022-10-12,Advertising & market research,Professional & technical services,United Kingdom,Bath and North East Somerset,Bath,Service,10-49,www.sunhouse-creative.com
kiklos architects,2023-02-27,Architecture design & planning,"Real estate, design & building",United Arab Emirates,Dubai,Dubai,Service,1-9,www.kiklosarchitects.com
Sharesies,2022-12-11,Securities brokerage,Financial & insurance activities,New Zealand,Wellington Region,Wellington,Service,50-249,www.sharesies.com
"ANKO FOOD MACHINE CO., LTD.",2025-04-08,Machinery & equipment,Manufactured Goods,Taiwan,Taipei,New Taipei City,Manufacturing,50-249,https://www.anko.com.tw/
Vigilance Properties Ltd,2022-11-23,Other personal services,Other services,United Kingdom,City of Westminster,London,Service,50-249,www.vigilanceprotects.com
wilderoben,2025-04-22,Sports goods,Retail,Slovakia,Bratislava Region,Bratislava,Wholesale/Retail,1-9,wilderoben.com/en/for-our-forests
Quales Group,2021-05-13,Other info service activities,"Information, communication & technology",Argentina,Buenos Aires Province,Ciudad Autónoma de Buenos Aires,Service,50-249,www.qualesgroup.com
Finterra,2022-07-07,Other financial services,Financial & insurance activities,Chile,Santiago Metropolitan Region,Santiago,Service,10-49,finterra.cl
Moo Free Ltd,2023-01-07,Food products,Manufactured Goods,United Kingdom,Devon,Holsworthy,Manufacturing,50-249,www.moofreechocolates.com
ViSSEVASSE,2023-05-20,Paper & paper products,Wholesale,Denmark,Region Zealand,Kastrup,Wholesale/Retail,1-9,www.vissevasse.com
Seetec Business Technology Centre Limited,2023-01-30,Other personal services,Other services,United Kingdom,Essex,Hockley,Service,1000+,seetec.co.uk
Thomas & Tate,2025-03-19,Restaurants & food service,Accommodation & food service,United Kingdom,Buckinghamshire,Amersham,Service with Significant Environmental Footprint,10-49,www.thomasandtate.com
Atomic Object LLC,2022-12-29,Computer programming services,"Information, communication & technology",United States,Michigan,Grand Rapids,Service,50-249,atomicobject.com
Fielding International,2023-03-01,Architecture design & planning,"Real estate, design & building",United States,Minnesota,Minneapolis,Service,10-49,www.fieldingintl.com
"Pharmactive Biotech Products, S.L.U.",2023-10-09,Food products,Manufactured Goods,Spain,Madrid,Alcobendas,Manufacturing,10-49,es.pharmactive.eu
Pressumo S.A.,2023-03-28,Beverages,Manufactured Goods,Paraguay,Central Department,Asuncion,Manufacturing,1-9,pressumo.com
DESOL,2025-03-22,"Other professional, scientific & tech",Professional & technical services,Argentina,Córdoba Province,Cordoba,Service,10-49,desol.cloud
Given Agency Limited,2023-08-14,Environmental consulting,Professional & technical services,United Kingdom,London Borough of Hackney,London,Service,10-49,www.givenagency.com
Figure 8 Investment Strategies LLC,2023-07-27,Investment advising,Financial & insurance activities,United States,Idaho,Boise,Service,1-9,figure8investing.com
Eco Panplas,2022-10-24,Materials recovery & recycling,Waste Management & Recycling,Brazil,São Paulo,Hortolândia,Manufacturing,1-9,ecopanplas.com.br
Revitaliza Consultores,2025-01-10,Other personal services,Other services,Mexico,Mexico City,Mexico city,Service,10-49,www.revitalizaconsultores.com
Chia Pang Plastics,2022-06-07,Rubber & plastics products,Wholesale,Taiwan,Taichung,Taichung,Wholesale/Retail,10-49,www.chia.com.tw
Syzygy Renewables Ltd (Trading as Syzygy Consulting),2023-07-27,Other renewable energy installation,Energy,United Kingdom,London Borough of Southwark,London,Service,10-49,https://syzygyconsulting.eu/
Fresh Prep Foods Inc.,2023-03-24,Food products,Manufactured Goods,Canada,British Columbia,Vancouver,Manufacturing,250-999,freshprep.ca
Down to Earth Market,2022-08-08,Restaurants & food service,Accommodation & food service,United States,New York,Ossining,Service with Significant Environmental Footprint,10-49,www.downtoearthmarkets.com
Sycous Limited,2022-09-13,Machinery & equipment,Wholesale,United Kingdom,England,Leeds,Wholesale/Retail,50-249,sycous.com
Ganni A/S,2022-09-02,Apparel,Wholesale,Denmark,Capital Region of Denmark,Copenhagen,Wholesale/Retail,250-999,www.ganni.com
Veris Wealth Partners,2022-11-23,Investment advising,Financial & insurance activities,United States,California,San Francisco,Service,10-49,www.veriswp.com
The Good Company,2022-05-02,Advertising & market research,Professional & technical services,France,Île-de-France,Paris,Service,10-49,thegoodco.fr
Trash and Stash (Stylehawk Enterprises),2024-03-27,Other business support,Administrative & support services,United States,South Carolina,Fort Mill,Service with Significant Environmental Footprint,1-9,trashandstash.com
SUPAJA,2022-06-15,Other education,Education,South Korea,Seoul,Seoul,Service,10-49,www.supaja.com
ROAR,2022-11-24,Other retail sale,Retail,United States,Pennsylvania,Wayne,Wholesale/Retail,10-49,www.roarforgood.com
Graphite Digital,2022-06-27,"Other professional, scientific & tech",Professional & technical services,United Kingdom,Brighton and Hove,Brighton,Service,10-49,www.graphitedigital.com
Paddocks Farm Partnership Holdings Limited,2022-08-22,Food products,Manufactured Goods,United Kingdom,Somerset,Taunton,Manufacturing,10-49,www.verm-x.com
Ethos Giving,2023-03-30,"Other professional, scientific & tech",Professional & technical services,United States,California,Los Angeles,Service,1-9,www.ethos-giving.com
The Happy Prize Company,2023-04-04,Other human health,Human health & social work,United Kingdom,Surrey,Caterham,Service,0,www.thehappyprizecompany.com
Art Pharmacy,2022-03-16,Arts & entertainment,"Arts, entertainment & recreation",Australia,New South Wales,Sydney,Service,1-9,www.artpharmacy.com.au
Matter of Focus,2022-12-19,Software publishing and SaaS platforms,"Information, communication & technology",United Kingdom,Scotland,Edinburgh,Service,10-49,www.matter-of-focus.com
The Whole Story,2022-06-21,"Other professional, scientific & tech",Professional & technical services,New Zealand,Otago Region,Ranfurly,Service,0,www.thewholestory.co.nz
Total Media Group Ltd,2021-03-15,Advertising & market research,Professional & technical services,United Kingdom,City of London,London,Service,50-249,www.totalmedia.co.uk
Grady Britton,2024-11-22,Advertising & market research,Professional & technical services,United States,Oregon,Portland,Service,10-49,www.gradybritton.com
Hallam-ICS,2023-03-14,Engineering,Professional & technical services,United States,Vermont,South Burlington,Service,50-249,www.hallam-ics.com
TomboyX,2024-09-12,Apparel,Retail,United States,Washington,Seattle,Wholesale/Retail,10-49,www.tomboyx.com
Heritage Bee Co.,2021-12-23,Food products,Retail,Canada,Ontario,Mulmur,Wholesale/Retail,0,www.heritagebee.com
Chehalem Winery,2022-06-23,Agricultural Processing,"Agriculture, forestry & fishing",United States,Oregon,Newberg,Agriculture/Growers,50-249,chehalemwines.com
Bassike,2022-06-24,Apparel,Retail,Australia,New South Wales,Warriewood,Wholesale/Retail,50-249,www.bassike.com
ENVACO,2022-03-11,Paper & paper products,Manufactured Goods,Paraguay,Central Department,Asunción,Manufacturing,50-249,www.envaco.com.py
GS2 Partnership,2024-03-09,"Other professional, scientific & tech",Professional & technical services,United Kingdom,Hampshire,Basingstoke,Service,1-9,www.gs2partnership.com
Maple Rock Capital Partners Inc.,2022-07-03,Other financial services,Financial & insurance activities,Canada,Ontario,Toronto,Service,10-49,www.maplerockpartners.com/index.html
Launchpad Impact Ventures,2023-09-18,"Other professional, scientific & tech",Professional & technical services,Australia,Victoria,Cremorne,Service,10-49,https://www.launchpadapps.co/
Rumpus,2023-06-02,Advertising & market research,Professional & technical services,United Kingdom,Trafford,Manchester,Service,1-9,www.rumpuspr.com
Owen Mumford Ltd,2021-06-07,Medical & dental supplies,Manufactured Goods,United Kingdom,Oxfordshire,Oxford,Manufacturing,250-999,www.owenmumford.com
Align Impact,2022-11-30,Investment advising,Financial & insurance activities,United States,California,Santa Monica,Service,10-49,alignimpact.com
The Growth Activists,2023-09-18,Management consultant - for-profits,Professional & technical services,Australia,New South Wales,North Bondi,Service,1-9,www.growthactivists.com
Aikya Investment Management,2022-08-09,Investment advising,Financial & insurance activities,United Kingdom,City of London,London,Service,1-9,www.aikya.co.uk
Axon Transportes S/A,2023-09-06,Transportation support,Transportation & storage,Brazil,Paraná,São José dos Pinhais,Service with Significant Environmental Footprint,50-249,axon.log.br
Akaroa Dolphins Ltd,2023-08-08,Other recreation,"Arts, entertainment & recreation",New Zealand,Canterbury Region,Akaroa,Service with Significant Environmental Footprint,10-49,www.akaroadolphins.co.nz
Key Production (London) Ltd,2023-09-18,Arts & entertainment,"Arts, entertainment & recreation",United Kingdom,London Borough of Islington,London,Service,50-249,www.keyproduction.co.uk
Om Cleaner Detergentes,2023-01-04,Cleaning products,Manufactured Goods,Chile,Valparaíso,Viña del mar,Manufacturing,1-9,omcleanerdetergentes.com
Higginson Strategy,2022-07-08,"Other professional, scientific & tech",Professional & technical services,United Kingdom,London Borough of Tower Hamlets,London,Service,10-49,higginsonstrategy.com
zafrán - Recetas honestas,2023-08-08,Food products,Manufactured Goods,Argentina,Buenos Aires Province,San Martín,Manufacturing,10-49,www.zafran.com.ar
Wongtschowski Kleiman Advogados,2022-11-14,Legal activities,Professional & technical services,Brazil,São Paulo,São Paulo,Service,10-49,wkadvogados.com
LineSync Architecture,2023-05-18,Architecture design & planning,"Real estate, design & building",United States,Vermont,Wilmington,Service,1-9,www.LineSync.com
New Laser,2025-02-21,Fabricated metal products,Manufactured Goods,Belgium,Liège,Sank Vith,Manufacturing,10-49,www.newlaser.be
Solution Nexam inc.,2024-09-11,Software publishing and SaaS platforms,"Information, communication & technology",Canada,Quebec,Quebec,Service,1-9,https://nexam.io/
Circularly,2023-08-08,Management consultant - for-profits,Professional & technical services,United States,New York,Saugerties,Service,0,circularly.io
PLANTUC projetos Socioambientais,2024-12-12,Environmental consulting,Professional & technical services,Brazil,Minas Gerais,Belo Horizonte,Service,0,www.plantuc.com.br
Pensions for Purpose Limited,2023-04-30,Membership organizations,Other services,United Kingdom,Buckinghamshire,Milton Keynes,Service,1-9,www.pensionsforpurpose.com
INFOMEDIA,2025-03-21,"Other professional, scientific & tech",Professional & technical services,Argentina,Autonomous City Of Buenos Aires,Ciudad Autónoma de Buenos Aires,Service,10-49,https://infomedia.consulting/
Standing on Giants,2024-02-26,Social networks & info sharing,"Information, communication & technology",United Kingdom,London Borough of Tower Hamlets,London,Service,50-249,www.standingongiants.com
Robot Food Ltd.,2024-04-17,Other personal services,Other services,United Kingdom,Leeds,Leeds,Service,10-49,www.robot-food.com
Circulab,2023-05-08,"Other professional, scientific & tech",Professional & technical services,France,Île-de-France,Paris,Service,1-9,circulab.com
The Liberty Guild,2022-07-12,Advertising & market research,Professional & technical services,United Kingdom,City of Westminster,London,Service,1-9,www.thelibertyguild.com
Stryve Online,2022-07-13,Software publishing and SaaS platforms,"Information, communication & technology",United Kingdom,London Borough of Camden,London,Service,10-49,www.stryve.online
Cornwall Environmental Consultants Ltd,2024-12-10,Environmental consulting,Professional & technical services,United Kingdom,Cornwall,Truro,Service with Significant Environmental Footprint,10-49,www.cecenvironment.co.uk
A Lush Affair,2023-09-22,Event catering & related,Accommodation & food service,Canada,Ontario,Toronto,Service with Significant Environmental Footprint,0,www.alushaffair.com
One Tribe Global Ltd.,2024-04-04,Software publishing and SaaS platforms,"Information, communication & technology",United Kingdom,Manchester,"Castlefield, Manchester",Service,1-9,www.onetribe.com
BN Engenharia,2022-08-04,Civil engineering,"Real estate, design & building",Brazil,São Paulo,São Paulo,Service with Significant Environmental Footprint,250-999,www.bnengenharia.com.br
moritoys,2023-09-06,Games & toys,Retail,Turkey,Istanbul Province,İstanbul,Wholesale/Retail,1-9,moritoys.com
Veganz Group AG,2023-05-30,Food products,Wholesale,Germany,Berlin,Berlin,Wholesale/Retail,50-249,veganz.com
ShiokFarm,2023-04-14,Food products,Retail,Singapore,Central Singapore Community Development Council,Singapore,Wholesale/Retail,1-9,www.shiokfarm.com
Jason Markk,2023-08-03,Cleaning products,Wholesale,United States,California,Norwalk,Wholesale/Retail,10-49,jasonmarkk.com
