company_name,date_certified,industry,industry_category,country,state,city,sector,size,website
Ucon Acrobatics,2022-08-14,Textiles,Retail,Germany,Berlin,Berlin,Wholesale/Retail,0,www.Ucon-Acrobatics.com
Liforme,2022-08-25,Sports goods,Retail,United Kingdom,London Borough of Camden,London,Wholesale/Retail,10-49,liforme.com
Boombrush,2024-10-03,General retail via Internet,Retail,Netherlands The,South Holland,Rotterdam,Wholesale/Retail,1-9,https://boombrush.com/
LYMA,2022-08-16,General retail via Internet,Retail,United Kingdom,City of Westminster,London,Wholesale/Retail,10-49,lyma.life
Dille & Kamille (International) B.V.,2022-12-08,Other retail sale,Retail,Netherlands The,Utrecht,Utrecht,Wholesale/Retail,250-999,www.dille-kamille.com
Nøie ApS,2022-08-22,Personal care products,Retail,Denmark,Capital Region of Denmark,Copenhagen,Wholesale/Retail,10-49,noie.com
Easydry,2022-06-02,Textiles,Retail,Ireland,County Louth,Dundalk,Wholesale/Retail,1-9,www.easydry.com
Winnow,2024-03-01,Computers & electronics,Retail,United Kingdom,London Borough of Hackney,London,Wholesale/Retail,50-249,www.winnowsolutions.com
Piantando,2022-09-09,Other retail sale,Retail,Italy,Lombardy,Milano,Wholesale/Retail,1-9,www.piantando.it
World of Books Group,2023-03-10,Books or other media,Retail,United Kingdom,West Sussex,Goring-by-Sea,Wholesale/Retail,250-999,www.wob.com
TET. responsible wear,2023-06-13,Apparel,Retail,Netherlands The,North Holland,-Haarlem,Wholesale/Retail,1-9,www.tetresponsiblewear.com
Apoteca Natura Pharmacies,2024-12-18,Other human health,Human health & social work,Italy,Tuscany,Sansepolcro,Service,50-249,www.apotecanatura.com
Addington Ltd T/A Positive Retail,2025-03-28,Apparel,Retail,United Kingdom,Kent,Ramsgate,Wholesale/Retail,1-9,www.positive-retail.com
Thrift Plus,2022-09-12,Apparel,Retail,United Kingdom,Leicestershire,Market Harborough,Wholesale/Retail,50-249,thrift.plus
CUP VERDE Coffee GmbH,2024-12-23,Beverages,Retail,Germany,Hamburg,Hamburg,Wholesale/Retail,1-9,https://cupverde.coffee/
Otiumberg,2023-07-01,Jewelry & related articles,Retail,United Kingdom,London Borough of Southwark,London,Wholesale/Retail,1-9,www.otiumberg.com
Better All Round Ltd / Fibre Revolution Holdings Ltd,2022-09-20,Paper & paper products,Retail,United Kingdom,Lincolnshire,Grantham,Wholesale/Retail,1-9,betterallround.com
Ocushield LTD,2022-10-11,General retail via Internet,Retail,United Kingdom,London Borough of Islington,London,Wholesale/Retail,10-49,www.ocushield.com
MR MARVIS Global Holding B.V.,2023-01-23,Apparel,Retail,Netherlands The,North Holland,Amsterdam,Wholesale/Retail,10-49,www.mrmarvis.com
MCSA Cafe Holdings Ltd,2024-01-09,Restaurants & food service,Accommodation & food service,United Kingdom,London Borough of Camden,London,Service with Significant Environmental Footprint,50-249,www.lantanacafe.co.uk
Gilda & Pearl,2023-06-28,Apparel,Retail,United Kingdom,City of London,London,Wholesale/Retail,1-9,gildapearl.co.uk
Habitat Aid Ltd,2022-03-08,Other retail sale,Retail,United Kingdom,Somerset,Bruton,Wholesale/Retail,0,www.habitataid.co.uk
The Jolly Hog Group Ltd,2022-08-25,Restaurants & food service,Accommodation & food service,United Kingdom,City of Bristol,Bristol,Service with Significant Environmental Footprint,10-49,thejollyhog.com
TOTM,2022-08-11,Personal care products,Retail,United Kingdom,Wales,Cardiff,Wholesale/Retail,10-49,www.totm.com
This Way,2023-07-25,Personal care products,Retail,Estonia,Harju County,Tallin,Wholesale/Retail,1-9,awaythisway.com
Doctolib,2024-12-05,Technology-based support services,Human health & social work,France,Île-de-France,Levallois-Perret,Service,1000+,https://www.doctolib.fr/
Occupational Health Assessment Ltd,2023-07-31,Other human health,Human health & social work,United Kingdom,Surrey,Guildford,Service,1-9,https://occupationalhealthassessment.com/
BakeryBits Ltd,2025-01-13,Food products,Retail,United Kingdom,Somerset,Wellington,Wholesale/Retail,1-9,bakerybits.co.uk
Cawston Press Ltd,2024-02-29,Beverages,Retail,United Kingdom,London Borough of Southwark,London,Wholesale/Retail,10-49,www.cawstonpress.com
Bike Club,2022-12-01,Sports goods,Retail,United Kingdom,London Borough of Southwark,London,Wholesale/Retail,50-249,bikeclub.com
Cowboy,2022-12-01,Electrical equipment,Retail,Belgium,Brussels-Capital Region,Bruxelles,Wholesale/Retail,50-249,cowboy.com
Bambino Mio,2023-01-27,Apparel,Retail,United Kingdom,Northamptonshire,Northampton,Wholesale/Retail,50-249,www.bambinomio.com
Kit and Kin Ltd,2022-08-22,Personal care products,Retail,United Kingdom,Buckinghamshire,Beaconsfield,Wholesale/Retail,1-9,kitandkin.com
Xenia S.p.A. SB,2023-03-07,Accommodation,Accommodation & food service,Italy,Abruzzo,Guardiagrele,Service with Significant Environmental Footprint,50-249,www.xeniahs.com
The Baby Gifting Company,2024-04-08,General retail via Internet,Retail,United Kingdom,London Borough of Barnet,London,Wholesale/Retail,1-9,https://www.babygifting.com/
COAT Paints,2022-08-15,Chemicals & chemical products,Retail,United Kingdom,London Borough of Islington,London,Wholesale/Retail,10-49,www.coatpaints.com
CAMPER GROUP,2022-07-20,Apparel,Retail,Spain,Balearic Islands,Inca,Wholesale/Retail,250-999,www.camper.com
Meetini Limited,2023-08-11,Event catering & related,Accommodation & food service,United Kingdom,London Borough of Haringey,London,Service with Significant Environmental Footprint,1-9,www.meetini.co.uk
BRAND EVANGELISTS FOR BEAUTY LTD,2023-01-04,Personal care products,Retail,United Kingdom,Nottinghamshire,nottingham,Wholesale/Retail,50-249,www.theinkeylist.com
Magic Foundry Limited (trading as Ooni),2023-01-09,Machinery & equipment,Retail,United Kingdom,Scotland,"Broxburn,",Wholesale/Retail,50-249,ooni.com
agood company,2023-01-10,Paper & paper products,Retail,Sweden,Stockholm County,Lidingö,Wholesale/Retail,1-9,agood.com
Allday Goods,2024-09-16,Food products,Retail,United Kingdom,London Borough of Hackney,London,Wholesale/Retail,1-9,alldaygoods.co.uk
Reform,2023-03-15,Furniture,Retail,Denmark,Central Denmark Region,Copenhagen,Wholesale/Retail,50-249,www.reformcph.com/en
The Ova Co.,2023-07-24,Personal care products,Retail,United Kingdom,London Borough of Richmond upon Thames,London,Wholesale/Retail,0,https://www.theovaco.com/
houseofdotcom,2024-01-03,Electrical equipment,Retail,United Kingdom,London Borough of Hackney,London,Wholesale/Retail,1-9,https://www.houseof.com/
POINT3 Wellbeing,2023-01-24,Other human health,Human health & social work,United Kingdom,London Borough of Hackney,London,Service,1-9,point3wellbeing.com
BIG MAMMA S.A.S,2023-01-31,Restaurants & food service,Accommodation & food service,France,Île-de-France,Paris,Service with Significant Environmental Footprint,1000+,www.bigmammagroup.com
Reuseabox Ltd,2023-05-24,Paper & paper products,Retail,United Kingdom,Lincolnshire,Lincolnshire,Wholesale/Retail,10-49,www.reuseabox.co.uk
Diagnostics360,2023-05-16,Diagnostic services,Human health & social work,United Kingdom,London Borough of Hounslow,London,Service with Significant Environmental Footprint,1-9,https://diagnostics360.co.uk/
Cubitts,2023-02-06,Other retail sale,Retail,United Kingdom,City of London,London,Wholesale/Retail,50-249,Cubitts.com
Tropicfeel,2023-07-24,Apparel,Retail,Spain,Catalonia,Barcelona,Wholesale/Retail,10-49,https://shop.tropicfeel.com/
Sepiia 2080 S.L.,2022-03-23,Apparel,Retail,Spain,Madrid,Madrid,Wholesale/Retail,10-49,sepiia.com
Beer52,2023-02-16,Beverages,Retail,United Kingdom,Scotland,Edinburgh,Wholesale/Retail,50-249,www.beer52.com
The Croft House,2025-02-11,Apparel,Retail,United Kingdom,Aberdeenshire,PETERHEAD,Wholesale/Retail,0,www.thecrofthouse.com
900,2025-01-27,Personal care products,Retail,France,Paris,Paris,Wholesale/Retail,10-49,900.care
The Invisible Collection Ltd,2023-03-10,Furniture,Retail,United Kingdom,United Kingdom,The Invisible Collection,Wholesale/Retail,10-49,theinvisiblecollection.com
The Food Line-up,2023-12-28,Event catering & related,Accommodation & food service,Netherlands The,North Holland,Amsterdam,Service with Significant Environmental Footprint,10-49,www.thefoodlineup.nl
Grubby,2024-12-19,Food products,Retail,United Kingdom,London Borough of Hackney,London,Wholesale/Retail,10-49,grubby.co.uk
Shalohm Ltd t/a Plenaire,2023-09-24,Personal care products,Retail,United Kingdom,London Borough of Hammersmith and Fulham,"Fulham, London",Wholesale/Retail,0,plenaire.co
Dock & Bay Ltd,2023-03-23,Textiles,Retail,United Kingdom,City of London,London,Wholesale/Retail,10-49,www.dockandbay.com
Tala,2023-03-31,Electrical equipment,Retail,United Kingdom,London Borough of Tower Hamlets,London,Wholesale/Retail,10-49,tala.co.uk
Black Bee Honey,2023-05-25,Food products,Retail,United Kingdom,Somerset,Shepton Mallet,Wholesale/Retail,1-9,www.blackbeehoney.com
Artknit Studios,2023-05-08,Apparel,Retail,Italy,Province of Biella,Biella,Wholesale/Retail,1-9,artknit-studios.com
Service Vending srl Società Benefit,2023-04-21,Food products,Retail,Italy,Province of Treviso,Santa Lucia di Piave,Wholesale/Retail,10-49,www.servicevendingdistributoriautomatici.it
Nature & Nurture; Baby-Vits Ltd,2023-04-24,Food products,Retail,United Kingdom,Lancashire,Bury,Wholesale/Retail,0,www.natureandnurture.life
WUKA,2023-04-27,Personal care products,Retail,United Kingdom,Hertfordshire,St Albans,Wholesale/Retail,10-49,www.wuka.co.uk
share,2022-09-28,Food products,Retail,Germany,Berlin,Berlin,Wholesale/Retail,50-249,www.share.eu
Fairfax and Favor,2024-09-11,Leather & related products,Retail,United Kingdom,Norfolk,Kings Lynn,Wholesale/Retail,50-249,www.fairfaxandfavor.com
BGifts,2023-05-03,Other retail sale,Retail,Netherlands The,South Holland,Rotterdam,Wholesale/Retail,0,www.b-gifts.eu
HIGHR Collective,2022-02-02,Personal care products,Retail,United Kingdom,London Borough of Camden,London,Wholesale/Retail,0,www.highrcollective.com
Forest Holidays,2023-05-04,Accommodation,Accommodation & food service,United Kingdom,Derbyshire,Moira,Service with Significant Environmental Footprint,250-999,www.forestholidays.co.uk
HASA OPTIX,2024-09-12,Medical & dental supplies,Retail,Belgium,Brussels-Capital Region,Ixelles,Wholesale/Retail,1-9,https://www.hasaoptix.com/
The Garlic Farm,2023-08-23,Food products,Retail,United Kingdom,Isle of Wight,Newchurch,Wholesale/Retail,50-249,https://www.thegarlicfarm.co.uk/
De Koffiejongens,2023-05-17,Beverages,Retail,Netherlands The,North Holland,Bussum,Wholesale/Retail,1-9,dekoffiejongens.nl
Mobilise Care Ltd,2023-05-24,Technology-based support services,Human health & social work,United Kingdom,City of London,London,Service,10-49,www.mobiliseonline.co.uk
ALBERGO ETICO THE FIRST IN ROME,2022-04-27,Accommodation,Accommodation & food service,Italy,Lazio,Roma,Service with Significant Environmental Footprint,1-9,www.albergoeticoroma.it
Modern Contradiction Limited,2024-03-27,Beverages,Retail,United Kingdom,City of Westminster,London,Wholesale/Retail,1-9,somethingandnothing.co
Delicorner,2023-05-29,Event catering & related,Accommodation & food service,France,Île-de-France,Saint-Ouen,Service with Significant Environmental Footprint,10-49,www.delicorner.co
COJEAN,2023-06-01,Restaurants & food service,Accommodation & food service,France,Île-de-France,Paris,Service with Significant Environmental Footprint,250-999,www.cojean.fr
The Tartan Blanket Co.,2023-02-21,Textiles,Retail,United Kingdom,Edinburgh,Edinburgh,Wholesale/Retail,10-49,tartanblanketco.com
Natural Paint UK Limited,2023-06-06,Chemicals & chemical products,Retail,United Kingdom,Herefordshire,Pembridge,Wholesale/Retail,10-49,https://www.edwardbulmerpaint.co.uk/
Linea Ufficio s.r.l.,2023-08-11,Machinery & equipment,Retail,Italy,Tuscany,Arezzo,Wholesale/Retail,10-49,www.lineaufficioarezzo.com
Bird Eyewear,2023-06-15,Apparel,Retail,United Kingdom,Devon,Exeter,Wholesale/Retail,1-9,www.findyourbirds.com
Olio Exchange Limited,2022-09-13,Restaurants & food service,Accommodation & food service,United Kingdom,London Borough of Haringey,London,Service,50-249,olioapp.com
Dare to be BV,2023-06-27,Apparel,Retail,Netherlands The,South Holland,Rotterdam,Wholesale/Retail,50-249,https://www.marliesdekkers.com
Jimmy's Iced Coffee,2022-08-16,Beverages,Retail,United Kingdom,Dorset,Christchurch,Wholesale/Retail,10-49,www.jimmysicedcoffee.com
Altermundi,2023-07-07,Apparel,Retail,France,Ile-de-France,PARIS,Wholesale/Retail,10-49,www.altermundi.com
Invivo Healthcare,2022-02-28,Diagnostic services,Human health & social work,United Kingdom,Gloucestershire,Stroud,Service with Significant Environmental Footprint,10-49,www.invivohealthcare.com
Selency,2024-09-25,Furniture,Retail,France,Paris,PARIS,Wholesale/Retail,50-249,www.selency.fr
Dalston's,2024-01-08,Beverages,Retail,United Kingdom,London Borough of Islington,London,Wholesale/Retail,1-9,https://dalstons.com
Michel et Augustin,2023-09-14,Food products,Retail,France,Paris,Issy-les-Moulineaux,Wholesale/Retail,50-249,www.micheletaugustin.com
Peachies Ltd,2024-11-21,Personal care products,Retail,United Kingdom,London Borough of Camden,London,Wholesale/Retail,1-9,wearepeachies.com
&Open,2024-04-11,Other retail sale,Retail,Ireland,County Dublin,Dublin,Wholesale/Retail,50-249,https://andopen.co/
LP Food at Work ( Leeming Pilkington ),2023-10-17,Restaurants & food service,Accommodation & food service,United Kingdom,London Borough of Hackney,London,Service with Significant Environmental Footprint,10-49,www.lpfoodatwork.co.uk
Presto Coffee Roasters,2021-11-18,Food products,Retail,United Kingdom,United Kingdom,London,Wholesale/Retail,1-9,presto-coffee.com
3INA Makeup,2024-04-09,Other retail sale,Retail,Spain,Madrid,Madrid,Wholesale/Retail,50-249,www.3ina.com
FLOOR_STORY Ltd,2024-02-21,Textiles,Retail,United Kingdom,London Borough of Hackney,London,Wholesale/Retail,1-9,www.floorstory.co.uk
Blacklock,2023-08-16,Restaurants & food service,Accommodation & food service,United Kingdom,United Kingdom,London,Service with Significant Environmental Footprint,50-249,www.theblacklock.com
Amamus Ltd,2023-08-21,Beverages,Retail,United Kingdom,Hampshire,Alresford,Wholesale/Retail,1-9,www.amamus.coffee
Patyka,2023-07-17,Personal care products,Retail,France,Île-de-France,Paris,Wholesale/Retail,50-249,https://patyka.com/
Cuento de Luz,2024-03-15,Books or other media,Retail,Spain,Madrid,Pozuelo de Alarcon,Wholesale/Retail,0,www.cuentodeluz.com
BV Brands Ltd (T/A Stubble & Co),2023-05-01,Apparel,Retail,United Kingdom,United Kingdom,Farnham,Wholesale/Retail,1-9,www.stubbleandco.com
Hunter & Gather,2023-07-20,Food products,Retail,United Kingdom,Thurrock,Essex,Wholesale/Retail,1-9,https://hunterandgatherfoods.com/
Abhati Suisse AG,2022-10-17,Personal care products,Retail,Switzerland,Appenzell Innerrhoden,Appenzell,Wholesale/Retail,1-9,www.abhatisuisse.com
MYMARINI GmbH,2025-03-03,Textiles,Retail,Germany,Hamburg,20357,Wholesale/Retail,10-49,www.mymarini.com
Miomojo srl,2022-03-09,Textiles,Retail,Italy,Lombardy,Bergamo,Wholesale/Retail,1-9,miomojo.com
Roberts & Treguer Ltd,2024-07-17,Restaurants & food service,Accommodation & food service,United Kingdom,London Borough of Islington,London,Service with Significant Environmental Footprint,50-249,https://www.robertsandtreguer.co.uk
Nats Rawline,2024-09-19,Food products,Retail,Belgium,Liège,Vivegnis,Wholesale/Retail,1-9,www.natsrawline.com
Aspiga,2022-08-11,Apparel,Retail,United Kingdom,London,Battersea,Wholesale/Retail,10-49,www.aspiga.com
Il Rastrello SRL,2024-09-25,Accommodation,Accommodation & food service,Italy,Umbria,Panicale,Service with Significant Environmental Footprint,10-49,www.rastrello.com
HOOMIZ,2024-09-27,Technology-based support services,Human health & social work,France,Île-de-France,Paris,Service,1-9,www.hoomiz.com
Odyssey Social Care Limited,2024-10-07,Other residential care,Human health & social work,Ireland,County Dublin,Rathmines,Service with Significant Environmental Footprint,250-999,www.odysseysocialcare.com
Hey Holy GmbH,2024-10-08,Food products,Retail,Germany,Rhineland-Palatinate,Marnheim,Wholesale/Retail,10-49,heyholy.com
Guilt Free Enterprise Ltd,2021-12-21,Food products,Retail,United Kingdom,Oxfordshire,BICESTER,Wholesale/Retail,1-9,nojolondon.co.uk
Mooncup®,2022-01-10,Personal care products,Retail,United Kingdom,London Borough of Hammersmith and Fulham,London,Wholesale/Retail,1-9,wearemooncup.com
NOMA Editions,2022-07-29,Furniture,Retail,France,Île-de-France,Levallois Perret,Wholesale/Retail,0,www.noma-editions.com
Sustainable Fashion Brands S.L / Sea2see,2021-12-20,Rubber & plastics products,Retail,Spain,Catalonia,Barcelona,Wholesale/Retail,1-9,www.sea2see.org
Tooti Ltd,2025-03-26,Personal care products,Retail,United Kingdom,London Borough of Islington,London,Wholesale/Retail,0,https://www.tootilab.com/
The re-wrap Association CIC,2022-10-27,Other retail sale,Retail,United Kingdom,London Borough of Islington,London,Wholesale/Retail,1-9,www.re-wrap.com
Marvellous Maps (Squeaky Wheels Ltd),2021-11-03,Books or other media,Retail,United Kingdom,England,Honiton,Wholesale/Retail,1-9,marvellousmaps.com
Freedom Confectionery Limited,2025-03-29,Food products,Retail,United Kingdom,Lancashire,Heysham,Wholesale/Retail,1-9,www.freedommallows.com
Beco,2022-07-14,Other retail sale,Retail,United Kingdom,City of London,London,Wholesale/Retail,10-49,www.becopets.com
CRU Kafe Ltd,2021-11-23,Beverages,Retail,United Kingdom,London,London,Wholesale/Retail,1-9,www.crukafe.com
FAB Group Holdings Limited,2025-02-13,Medical & dental practice,Human health & social work,United Kingdom,Cornwall,Callington,Service with Significant Environmental Footprint,10-49,www.archwaydentalsurgery.co.uk
Meadowlands Hotel,2024-12-13,Accommodation,Accommodation & food service,Ireland,County Kerry,Tralee,Service with Significant Environmental Footprint,50-249,www.meadowlandshotel.com
HURR Limited,2025-04-14,General retail via Internet,Retail,United Kingdom,London Borough of Barnet,London,Wholesale/Retail,10-49,www.hurrcollective.com
ILUNION Hotels,2024-12-16,Accommodation,Accommodation & food service,Spain,Madrid,Madrid,Service with Significant Environmental Footprint,1000+,https://dondedormiresdespertar.es/en/homepage-en/
Wild,2023-01-14,Personal care products,Retail,United Kingdom,London Borough of Lambeth,London,Wholesale/Retail,10-49,www.WeAreWild.com
Epycure,2022-04-25,Personal care products,Retail,France,Ile-de-France,PARIS,Wholesale/Retail,1-9,www.epycure.com
dewerstone,2022-01-20,Apparel,Retail,United Kingdom,Devon,Princetown,Wholesale/Retail,1-9,dewerstone.com
Ethical Bedding,2021-12-03,Textiles,Retail,United Kingdom,England,London,Wholesale/Retail,0,www.ethicalbedding.com
The CHAOS Group Cornwall,2022-11-08,Other human health,Human health & social work,United Kingdom,Cornwall,Truro,Service,50-249,www.chaosgroupcornwall.co.uk
MySense Ltd,2022-07-29,Computers & electronics,Retail,United Kingdom,City of London,London,Wholesale/Retail,10-49,www.mysense.ai
Facilitea,2021-11-08,General retail via Internet,Retail,Spain,Catalonia,Barcelona,Wholesale/Retail,10-49,www.facilitea.com
Muddy Puddles,2022-10-03,General retail via Internet,Retail,United Kingdom,London,London,Wholesale/Retail,1-9,www.muddypuddles.com
GOT BAG,2023-05-19,Apparel,Retail,Germany,Rhineland-Palatinate,Mainz,Wholesale/Retail,10-49,www.got-bag.com
Nkuku Ltd,2023-01-26,General retail via Internet,Retail,United Kingdom,Devon,Dartington,Wholesale/Retail,50-249,nkuku.com
Holy Moly Ltd,2022-08-19,Food products,Retail,United Kingdom,Buckinghamshire,Milton Keynes,Wholesale/Retail,1-9,www.holymolydips.com
Hawksmoor,2022-09-06,Restaurants & food service,Accommodation & food service,United Kingdom,London Borough of Hackney,London,Service,250-999,www.thehawksmoor.com
Ape2o Limited,2022-04-21,Beverages,Retail,United Kingdom,City of London,Hampton,Wholesale/Retail,0,www.ape2o.com
HYDRO WARE SRL SB,2024-11-15,Other retail sale,Retail,Italy,Province of Bergamo,Alzano Lombardo,Wholesale/Retail,10-49,https://hydroware.it/
Charlotte Bjorklund,2024-08-21,Apparel,Retail,France,Île-de-France,Paris,Wholesale/Retail,1-9,https://linnealund.com/fr
Vogel's Holding BV,2024-11-04,Electrical equipment,Retail,Netherlands The,North Brabant,Eindhoven,Wholesale/Retail,50-249,www.vogels.com
metta muse,2024-11-25,Apparel,Retail,Switzerland,Canton of Geneva,Genève,Wholesale/Retail,10-49,www.mettamuse.com
Sawday's,2022-12-22,Accommodation,Accommodation & food service,United Kingdom,City of Bristol,Bristol,Service,50-249,www.sawdays.co.uk
Otrium,2024-11-08,Apparel,Retail,Netherlands The,North Holland,Amsterdam,Wholesale/Retail,50-249,www.otrium.com
U-earth biotech ltd,2024-11-27,Medical & dental supplies,Retail,United Kingdom,City of London,London,Wholesale/Retail,10-49,www.u-earth.eu
Thetford Garden Centre Ltd,2024-12-10,Other retail sale,Retail,United Kingdom,Norfolk,Thetford,Wholesale/Retail,50-249,www.thetfordgardencentre.co.uk
SEP Suisse SA,2025-03-09,Textiles,Retail,Switzerland,Canton of Geneva,Cologny,Wholesale/Retail,10-49,www.septhebrand.com
Treseren,2025-03-04,Event catering & related,Accommodation & food service,United Kingdom,Cornwall,Newquay,Service with Significant Environmental Footprint,1-9,www.treseren.co.uk
Ingenious Laboratories Limited,2025-03-12,Other retail sale,Retail,United Kingdom,Oxfordshire,Oxford,Wholesale/Retail,10-49,www.ingeniouslife.com
Happy Earth       Orange-Sheep BV,2025-03-03,Personal care products,Retail,Netherlands The,North Holland,Hilversum,Wholesale/Retail,1-9,https://www.happyearthcare.com/
EKOMODO Sustainable Company S.L.,2021-11-03,General retail via Internet,Retail,Spain,Gipuzkoa,Donostia - San Sebastián,Wholesale/Retail,1-9,www.ekomodo.eus
Golden Acre Foods,2023-06-23,Food products,Retail,United Kingdom,Surrey,Chertsey,Wholesale/Retail,50-249,www.goldenacrefoods.com
Monarc Jewellery Limited,2022-02-22,Jewelry & related articles,Retail,United Kingdom,London,London,Wholesale/Retail,1-9,www.monarcjewellery.com
Fallow Restaurant,2024-04-17,Restaurants & food service,Accommodation & food service,United Kingdom,City of Westminster,London,Service with Significant Environmental Footprint,50-249,https://fallowrestaurant.com
Beehave Beverages Ltd,2021-12-21,Beverages,Retail,United Kingdom,City of London,London,Wholesale/Retail,1-9,https://beesou.london
PEDEVILLA S.p.A. - Società Benefit,2024-08-01,Event catering & related,Accommodation & food service,Italy,Lazio,Roma,Service with Significant Environmental Footprint,250-999,www.pedevilla.it
FOODLES,2023-08-21,Food products,Retail,France,Île-de-France,CLICHY,Wholesale/Retail,250-999,www.foodles.co
NEOM Ltd,2022-11-14,Personal care products,Retail,United Kingdom,North Yorkshire,Harrogate,Wholesale/Retail,50-249,https://neomwellbeing.com/
Love Cocoa Ltd,2023-06-15,Food products,Retail,United Kingdom,London Borough of Islington,London,Wholesale/Retail,10-49,lovecocoa.com
REUNI,2023-07-21,Apparel,Retail,France,Ile de france,Paris,Wholesale/Retail,1-9,www.reuni.co
A-dam Underwear B.V.,2024-09-07,Apparel,Retail,Netherlands The,North Holland,Amsterdam,Wholesale/Retail,10-49,www.a-dam.com
Sanature,2024-10-29,Personal care products,Retail,Netherlands The,North Holland,Amsterdam,Wholesale/Retail,1-9,www.sanature.com
Asphalte,2024-04-09,Apparel,Retail,France,Nouvelle-Aquitaine,Bordeaux,Wholesale/Retail,10-49,asphalte.com
Maren Jewellery,2021-11-22,Jewelry & related articles,Retail,Germany,Baden-Württemberg,Ulm,Wholesale/Retail,0,marenjewellery.com
Organico Realfoods Ltd,2023-08-07,Food products,Retail,United Kingdom,Reading,Reading,Wholesale/Retail,1-9,WWW.ORGANICOREALFOODS.COM
MagicTomato,2022-03-18,Food products,Retail,Switzerland,Geneva,Plan-Les-Ouates,Wholesale/Retail,10-49,www.magictomato.ch
Cully & Sully,2023-11-02,Food products,Retail,Ireland,County Cork,Cork,Wholesale/Retail,10-49,cullyandsully.com
Relove Technology Limited,2021-11-09,Computers & electronics,Retail,United Kingdom,London Borough of Hackney,London,Wholesale/Retail,1-9,www.relovetechnology.com
Balzac Paris,2024-08-20,Apparel,Retail,France,Île-de-France,Paris,Wholesale/Retail,50-249,balzac-paris.fr
Ultramed Ltd,2024-08-30,Technology-based support services,Human health & social work,United Kingdom,Cornwall,Penryn,Service,10-49,ultramed.co
Mindful Chef,2022-06-30,Food products,Retail,United Kingdom,London,London,Wholesale/Retail,50-249,www.mindfulchef.com
Helloprint BV.,2024-02-15,General retail via Internet,Retail,Netherlands The,South Holland,Rotterdam,Wholesale/Retail,50-249,www.helloprint.com
@BambuuBrush Ltd,2023-12-20,Personal care products,Retail,United Kingdom,Hertfordshire,Hitchin,Wholesale/Retail,0,bambuubrush.com
Exclusive Collection,2021-09-03,Accommodation,Accommodation & food service,United Kingdom,Surrey,Bagshot,Service with Significant Environmental Footprint,250-999,www.exclusive.co.uk
Centre ASSAL,2022-08-12,Medical & dental practice,Human health & social work,Switzerland,GE,Geneva,Service with Significant Environmental Footprint,10-49,centre-assal.ch
LESTRANGE,2022-09-12,Apparel,Retail,United Kingdom,London Borough of Camden,London,Wholesale/Retail,10-49,lestrangelondon.com
Pizza Pilgrims,2024-02-01,Restaurants & food service,Accommodation & food service,United Kingdom,City of Westminster,London,Service with Significant Environmental Footprint,250-999,https://www.pizzapilgrims.co.uk/
Secrid BV,2021-12-10,Leather & related products,Retail,Netherlands The,Zuid Holland,Den Haag,Wholesale/Retail,50-249,https://secrid.com/en-nl/
Sutsu (Trading Name of Wall of Design),2023-06-22,Apparel,Retail,United Kingdom,London Borough of Richmond upon Thames,London,Wholesale/Retail,1-9,www.sutsu.com
CASA DELLA SALUTE S.p.A.,2024-12-18,Diagnostic services,Human health & social work,Italy,Liguria,Genova,Service with Significant Environmental Footprint,250-999,https://cds.it/
Childs Farm ltd,2022-06-21,Personal care products,Retail,United Kingdom,Hampshire,Basingstoke,Wholesale/Retail,10-49,www.childsfarm.com
Another Country,2024-11-05,Furniture,Retail,United Kingdom,United Kingdom,London,Wholesale/Retail,1-9,https://www.anothercountry.com/
Bugaboo,2023-08-11,Other retail sale,Retail,Netherlands The,North Holland,Amsterdam,Wholesale/Retail,250-999,www.bugaboo.com
LOVE BRAND & Co. Ltd,2022-11-17,Apparel,Retail,United Kingdom,City of London,London,Wholesale/Retail,10-49,www.lovebrand.com
Bold Bean Co,2023-04-13,Food products,Retail,United Kingdom,London Borough of Hammersmith and Fulham,London,Wholesale/Retail,1-9,www.boldbeanco.com
HelloFresh UK,2021-07-12,Food products,Retail,United Kingdom,Hackney,London,Wholesale/Retail,1000+,www.hellofresh.co.uk
Té - Créateur d'Instants,2024-04-08,Event catering & related,Accommodation & food service,France,Île-de-France,Montreuil,Service with Significant Environmental Footprint,50-249,www.te-traiteur.fr
OLPRO Ltd,2023-05-09,General retail via Internet,Retail,United Kingdom,Worcestershire,Worcester,Wholesale/Retail,10-49,www.olproshop.com
DUROC,2021-10-18,Cleaning products,Retail,France,Paris,Paris,Wholesale/Retail,1-9,www.lamarqueenmoins.f
La Fourche SAS,2022-12-22,Food products,Retail,France,Ile de France,Livry Gargan,Wholesale/Retail,50-249,lafourche.fr
Korff srl,2024-07-23,Personal care products,Retail,Italy,Lombardy,Milano,Wholesale/Retail,10-49,https://www.korff.it/
Kaffe Bueno ApS,2022-08-01,Personal care products,Retail,Denmark,Region Zealand,Rødovre,Wholesale/Retail,1-9,kaffebueno.com
WildHearts Group,2023-03-06,General retail via Internet,Retail,United Kingdom,Scotland,Glasgow,Wholesale/Retail,10-49,www.wildheartsgroup.com
Stay Wild Swim Limited,2022-05-17,Apparel,Retail,United Kingdom,UK,London,Wholesale/Retail,1-9,staywildswim.com
A Clean Spirit,2024-10-04,Beverages,Retail,Denmark,Region of Southern Denmark,Odense C,Wholesale/Retail,1-9,www.acleanspirit.dk
